Timestamp,What is your age?,What is your gender?,What is your monthly salary?,Whit is your civil status?,What is your working experience?,What is your company's working arrangement?,Choose one response [My job made me feel angry.],Choose one response [My job made me feel anxious.],Choose one response [My job made me feel at ease.],Choose one response [My job made me feel bored.],Choose one response [My job made me feel calm.],Choose one response [My job made me feel content.],Choose one response [My job made me feel depressed.],Choose one response [My job made me feel discouraged.],Choose one response [My job made me feel disgusted.],Choose one response [My job made me feel ecstatic.],Choose one response [My job made me feel energetic.],Choose one response [My job made me feel enthusiastic.],Choose one response [My job made me feel excited.],Choose one response [My job made me feel fatigued.],Choose one response [My job made me feel frightened.],Choose one response [My job made me feel furious.],Choose one response [My job made me feel gloomy.],Choose one response [My job made me feel inspired.],Choose one response [My job made me feel relaxed.],Choose one response [My job made me feel satisfied.]
2022/07/13 9:26:57 AM GMT+5:30,26 - 30 years,Female,"Rs 100,000 - Rs 200,000",Married,2- 5 years,Online,Rarely,Rarely,Quite often,Sometimes,Quite often,Extremely often,Never,Never,Never,Sometimes,Quite often,Sometimes,Quite often,Sometimes,Sometimes,Sometimes,Sometimes,Quite often,Quite often,Quite often
2022/07/13 9:31:39 AM GMT+5:30,31 - 40 years,Female,"Rs 100,000 - Rs 200,000",Married,10 years,Online,Quite often,Sometimes,Sometimes,Sometimes,Rarely,Quite often,Rarely,Rarely,Rarely,Sometimes,Quite often,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Extremely often,Rarely,Quite often
2022/07/13 9:33:36 AM GMT+5:30,26 - 30 years,Male,"Rs 200,001 - Rs 500,000",Married,5-10 years,Hybrid,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely
2022/07/13 2:45:32 PM GMT+5:30,26 - 30 years,Female,"< Rs.100,000",Single,2- 5 years,Physical,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
2022/07/13 4:15:45 PM GMT+5:30,26 - 30 years,Female,"< Rs.100,000",Single,< 2 years,Physical,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Rarely,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Quite often
2022/07/14 10:44:15 AM GMT+5:30,26 - 30 years,Male,"Rs 200,001 - Rs 500,000",Married,2- 5 years,Hybrid,Never,Sometimes,Quite often,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Extremely often
2022/07/14 5:40:08 PM GMT+5:30,31 - 40 years,Male,"Rs 500,001 - Rs 1,000,000",Married,5-10 years,Hybrid,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Quite often
2022/07/13 1:24:15 PM GMT+5:30,31 - 40 years,Female,"Rs 200,001 - Rs 500,000",Married,10 years,Online,Rarely,Rarely,Sometimes,Never,Sometimes,Sometimes,Rarely,Rarely,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Never,Rarely,Sometimes,Sometimes
2022/07/13 10:42:48 AM GMT+5:30,26 - 30 years,Female,"Rs 500,001 - Rs 1,000,000",Single,5-10 years,Hybrid,Rarely,Rarely,Quite often,Rarely,Rarely,Quite often,Rarely,Rarely,Rarely,Rarely,Quite often,Quite often,Quite often,Rarely,Rarely,Rarely,Rarely,Quite often,Quite often,Quite often
2022/07/13 10:44:22 AM GMT+5:30,26 - 30 years,Female,"Rs 500,001 - Rs 1,000,000",Single,< 2 years,Physical,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Extremely often,Extremely often,Sometimes,Sometimes,Sometimes,Quite often,Extremely often,Quite often,Sometimes,Rarely,Sometimes,Rarely
